<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2004.04.02;16:00:00;1.21690;1.21890;1.21020;1.21120;2209;0;40
2004.04.02;20:00:00;1.21120;1.21480;1.21070;1.21330;1310;0;40
2004.04.05;00:00:00;1.21120;1.21230;1.20900;1.20960;1387;0;40
2004.04.05;04:00:00;1.20960;1.21160;1.20870;1.20960;1350;0;40
2004.04.05;08:00:00;1.20970;1.21310;1.20790;1.20880;1940;0;40
2004.04.05;12:00:00;1.20870;1.21140;1.19950;1.20190;2134;0;40
2004.04.05;16:00:00;1.20210;1.20350;1.19830;1.20070;2176;0;40
2004.04.05;20:00:00;1.20090;1.20280;1.19980;1.20030;1675;0;40
2004.04.06;00:00:00;1.20020;1.20220;1.19930;1.20010;1777;0;40
2004.04.06;04:00:00;1.20000;1.20300;1.19790;1.20040;2079;0;40
2004.04.06;08:00:00;1.20020;1.21140;1.19970;1.20970;1989;0;40
2004.04.06;12:00:00;1.20970;1.21220;1.20690;1.20770;2112;0;40
2004.04.06;16:00:00;1.20750;1.21190;1.20450;1.21030;2032;0;40
2004.04.06;20:00:00;1.21030;1.21450;1.20830;1.21410;1558;0;40
2004.04.07;00:00:00;1.21400;1.21450;1.20720;1.20830;1415;0;40
2004.04.07;04:00:00;1.20850;1.21020;1.20580;1.20640;1364;0;40
2004.04.07;08:00:00;1.20640;1.21020;1.20500;1.20870;1916;0;40
2004.04.07;12:00:00;1.20890;1.21370;1.20760;1.21190;2123;0;40
2004.04.07;16:00:00;1.21180;1.22000;1.21120;1.21880;2002;0;40
2004.04.07;20:00:00;1.21890;1.21960;1.21640;1.21720;1389;0;40
2004.04.08;00:00:00;1.21710;1.21910;1.21570;1.21840;1239;0;40
2004.04.08;04:00:00;1.21820;1.22210;1.21760;1.22130;1529;0;40
2004.04.08;08:00:00;1.22120;1.22170;1.21470;1.21570;1850;0;40
2004.04.08;12:00:00;1.21580;1.21610;1.20660;1.20820;2062;0;40
2004.04.08;16:00:00;1.20810;1.21200;1.20590;1.20790;1878;0;40
2004.04.08;20:00:00;1.20780;1.20920;1.20710;1.20830;1162;0;40
2004.04.09;00:00:00;1.20840;1.20990;1.20700;1.20880;1279;0;40
2004.04.09;04:00:00;1.20870;1.20900;1.20650;1.20830;1307;0;40
2004.04.09;08:00:00;1.20820;1.21160;1.20790;1.21040;1321;0;40
